year,pick,player,team,college_or_intl,age_at_draft,height_in,weight_lbs,wingspan_in,standing_reach_in,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp,allstar,notes,ncaa_games,ncaa_mpg,ncaa_ppg,ncaa_rpg,ncaa_apg,ncaa_fg_pct,ncaa_3p_pct,ncaa_3pa_pg,ncaa_ft_pct,ncaa_ts_pct,ncaa_usg_pct,ncaa_ast_pct,ncaa_tov_pct,ncaa_stl_pct,ncaa_blk_pct,ncaa_obpm,ncaa_bpm,ncaa_source
2000,33,Jake Voskuhl,CHI,UConn,22.66,83.0,245.0,,,450.0,6443.0,11.6,0.087,-3.8,-3.0,0,ht/wt from BBR listed (not combine barefoot),,,,,,,,,,,,,,,,,,
2000,34,Khalid El-Amin,CHI,UConn,21.18,69.0,200.0,73.5,93.0,50.0,936.0,0.6,0.03,-2.4,-0.1,0,,,,,,,,,,,,,,,,,,,
2000,35,Mike Smith,WAS,Louisiana-Monroe,24.2,78.5,198.0,80.5,103.0,17.0,180.0,-0.1,-0.033,-4.2,-0.1,0,,,,,,,,,,,,,,,,,,,
2000,36,Soumaila Samake,NJN,,22.28,84.0,230.0,,,47.0,303.0,0.3,0.046,-3.7,-0.1,0,ht/wt from BBR listed (not combine barefoot),,,,,,,,,,,,,,,,,,
2000,37,Eddie House,MIA,Arizona State,22.12,71.75,176.5,75.5,95.0,717.0,12405.0,20.0,0.077,0.0,6.1,0,,,,,,,,,,,,,,,,,,,
2000,38,Eduardo Nájera,HOU,Oklahoma,23.96,78.5,234.5,83.5,104.5,619.0,11213.0,24.7,0.106,-0.9,3.0,0,,,,,,,,,,,,,,,,,,,
2000,39,Lavor Postell,NYK,St. John's,22.34,76.5,205.0,80.5,101.5,61.0,446.0,-0.2,-0.025,-5.0,-0.3,0,,,,,,,,,,,,,,,,,,,
2000,40,Hanno Möttölä,ATL,Utah,23.8,83.0,247.0,,,155.0,2360.0,0.9,0.019,-5.9,-2.3,0,ht/wt from BBR listed (not combine barefoot),,,,,,,,,,,,,,,,,,
2000,41,Chris Carrawell,SAS,Duke,,,,,,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2000,42,Olumide Oyedeji,SEA,,19.13,82.0,240.0,,,93.0,587.0,1.2,0.095,-4.3,-0.3,0,ht/wt from BBR listed (not combine barefoot),,,,,,,,,,,,,,,,,,
2000,43,Michael Redd,MIL,Ohio State,20.85,76.75,214.0,81.0,102.0,629.0,20104.0,55.9,0.134,2.2,21.4,1,,,,,,,,,,,,,,,,,,,
2000,44,Brian Cardinal,DET,Purdue,23.16,80.0,245.0,,,456.0,6477.0,15.4,0.114,-0.1,3.2,0,ht/wt from BBR listed (not combine barefoot),,,,,,,,,,,,,,,,,,
2000,45,Jabari Smith,SAC,LSU,23.37,81.75,240.5,86.5,109.5,108.0,1063.0,1.3,0.058,-4.3,-0.6,0,,,,,,,,,,,,,,,,,,,
2000,46,DeeAndre Hulett,TOR,College of the Sequoias,,,,,,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2000,47,Josip Sesar,SEA,,,,,,,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2000,48,Mark Karcher,PHI,Temple,,76.0,218.0,80.0,102.5,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2000,49,Jason Hart,MIL,Syracuse,22.17,73.75,181.0,78.0,97.5,341.0,5289.0,8.6,0.078,-1.2,1.0,0,,,,,,,,,,,,,,,,,,,
2000,50,Kaniel Dickens,UTA,Idaho,21.94,80.0,215.0,,,19.0,85.0,0.1,0.055,-3.0,0.0,0,ht/wt from BBR listed (not combine barefoot),,,,,,,,,,,,,,,,,,
2000,51,Igor Rakočević,MIN,,22.25,74.5,184.0,77.25,100.0,42.0,244.0,0.1,0.022,-4.9,-0.2,0,,,,,,,,,,,,,,,,,,,
2000,52,Ernest Brown,MIA,Indian Hills Community College,21.12,82.0,222.5,85.25,109.5,3.0,21.0,-0.2,-0.349,-18.2,-0.1,0,,,,,,,,,,,,,,,,,,,
2000,53,Dan McClintock,DEN,Northern Arizona University,23.19,83.0,250.0,85.5,107.0,6.0,58.0,0.0,0.007,-7.9,-0.1,0,,,,,,,,,,,,,,,,,,,
2000,54,Cory Hightower,SAS,Indian Hills Community College,,77.5,183.0,83.0,101.5,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2000,55,Chris Porter,GSW,Auburn,22.14,77.5,214.0,81.5,103.5,51.0,1147.0,0.2,0.008,-4.5,-0.7,0,,,,,,,,,,,,,,,,,,,
2000,56,Jaquay Walls,IND,Colorado,,73.25,165.5,74.5,96.5,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2000,57,Scoonie Penn,ATL,Ohio State,,,,,,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2000,58,Pete Mickeal,DAL,Cincinnati,,77.0,222.0,81.5,103.5,,,,,,,0,no NBA stats on BBR (never played),,,,,,,,,,,,,,,,,,
2001,1,Kwame Brown,WAS,,19.3,82.0,243.0,85.0,108.0,607.0,13389.0,20.8,0.074,-2.4,-1.3,0,non-NCAA,,,,,,,,,,,,,,,,,,
2001,2,Tyson Chandler,LAC,,18.74,83.5,224.0,87.0,110.0,1160.0,31617.0,102.1,0.155,0.1,16.9,1,non-NCAA,,,,,,,,,,,,,,,,,,
2001,3,Pau Gasol,ATL,,20.97,84.0,250.0,,,1226.0,41001.0,144.1,0.169,3.6,57.5,1,ht/wt from BBR listed (not combine barefoot); non-NCAA,,,,,,,,,,,,,,,,,,
2001,4,Eddy Curry,CHI,,18.56,82.5,301.0,90.5,111.0,527.0,13109.0,21.7,0.08,-2.4,-1.3,0,non-NCAA,,,,,,,,,,,,,,,,,,
2001,5,Jason Richardson,GSW,Michigan State,20.43,76.75,213.0,83.5,102.5,857.0,29241.0,59.1,0.097,1.2,23.8,0,,33,28.5,14.7,5.9,2.2,0.503,0.402,3.7,0.689,0.589,,,9.2,,,,,sports-reference
