year,pick,player,team,college_or_intl,age_at_draft,height_in,weight_lbs,wingspan_in,standing_reach_in,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp,allstar,notes
2002,41,Mario Kasun,LAC,,22.22,83.75,260.0,83.5,109.0,73.0,569.0,0.8,0.069,-7.0,-0.7,0,
2002,42,Ronald Murray,MIL,Shaw,22.91,75.0,197.0,79.5,100.5,487.0,11077.0,8.5,0.037,-2.2,-0.5,0,
2002,43,Jason Jennings,POR,Arkansas State University,,83.25,249.0,91.0,111.0,,,,,,,0,no NBA stats on BBR (never played)
2002,44,Lonny Baxter,CHI,Maryland,23.41,78.25,264.0,85.5,107.5,162.0,1884.0,2.9,0.075,-4.6,-1.2,0,
2002,45,Sam Clancy,PHI,USC,,78.25,242.0,86.75,107.0,,,,,,,0,combine matched year-1; no NBA stats on BBR (never played)
2002,46,Matt Barnes,MEM,UCLA,22.3,78.75,226.0,81.0,96.5,929.0,21967.0,42.8,0.093,-0.1,10.7,0,
2002,47,Jamal Sampson,UTA,California,19.12,83,235,,,72.0,631.0,1.4,0.106,-2.3,-0.1,0,ht/wt from BBR listed (not combine barefoot)
2002,48,Chris Owens,MIL,Texas,23.32,79.0,237.0,83.5,104.0,1.0,6.0,0.0,-0.032,-0.5,0.0,0,
2002,49,Peter Fehse,SEA,,,82.0,220.0,84.5,109.0,,,,,,,0,no NBA stats on BBR (never played)
2002,50,Darius Songaila,BOS,Wake Forest,24.36,80.0,240.0,85.0,108.5,495.0,9229.0,15.9,0.083,-2.1,-0.2,0,
2002,51,Federico Kammerichs,POR,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2002,52,Marcus Taylor,MIN,Michigan State,,73.0,181.0,76.5,98.5,,,,,,,0,no NBA stats on BBR (never played)
2002,53,Rasual Butler,MIA,La Salle,23.09,78.75,198.0,84.0,105.5,809.0,17219.0,20.8,0.058,-1.4,2.6,0,
2002,54,Tamar Slay,NJN,Marshall,22.23,78.75,203.0,83.5,104.0,66.0,517.0,-0.3,-0.029,-5.7,-0.5,0,
2002,55,Mladen Sekularac,DAL,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2002,56,Luis Scola,SAS,,22.15,81,240,,,743.0,19001.0,45.7,0.115,-0.7,6.4,0,ht/wt from BBR listed (not combine barefoot)
2002,57,Randy Holcomb,SAS,San Diego State,22.88,79.0,225.0,85.0,105.0,4.0,11.0,0.0,0.15,-1.7,0.0,0,
2002,58,Corsley Edwards,SAC,Central Connecticut State University,23.31,79.25,285.0,82.75,106.5,10.0,110.0,0.1,0.026,-6.2,-0.1,0,
2003,1,LeBron James,CLE,,18.49,79.25,245.0,84.25,106.25,1622.0,61030.0,276.8,0.218,8.4,159.4,1,
2003,2,Darko Miličić,DET,,18.02,83.5,250.0,89.0,111.5,468.0,8638.0,7.1,0.04,-2.4,-0.9,0,
2003,3,Carmelo Anthony,DEN,Syracuse,19.07,78.25,233.0,84.0,105.5,1260.0,43514.0,108.5,0.12,1.3,36.7,1,
2003,4,Chris Bosh,TOR,Georgia Tech,19.26,82.25,225.0,87.5,109.0,893.0,31936.0,106.0,0.159,1.9,31.1,1,
2003,5,Dwyane Wade,MIA,Marquette,21.44,75.75,212.0,82.75,102.0,1054.0,35773.0,120.7,0.162,5.0,62.8,1,
2003,6,Chris Kaman,LAC,Central Michigan University,21.16,83.5,252.0,83.75,110.5,735.0,19642.0,24.6,0.06,-1.9,0.4,1,
2003,7,Kirk Hinrich,CHI,Kansas,22.48,74.75,186.0,78.0,98.5,879.0,27015.0,52.5,0.093,0.0,13.3,0,
2003,8,T.J. Ford,MIL,Texas,20.26,71.0,162.0,71.5,93.5,429.0,11882.0,16.9,0.068,-0.4,4.6,0,
2003,9,Mike Sweetney,NYK,Georgetown,20.67,80,275,,,233.0,3610.0,7.8,0.103,-2.7,-0.6,0,ht/wt from BBR listed (not combine barefoot)
