year,pick,team,player,slug,college,yrs,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp
2012,28,OKC,Perry Jones,jonespe01,Baylor,3,143,1675,1.7,.048,-3.5,-0.6
2012,29,CHI,Marquis Teague,teaguma01,Kentucky,3,91,909,-0.9,-.045,-6.5,-1.0
2012,30,GSW,Festus Ezeli,ezelife01,Vanderbilt,3,170,2394,5.9,.119,-2.0,0.0
2012,31,CHA,Jeff Taylor,tayloje03,Vanderbilt,3,132,2566,1.3,.024,-4.2,-1.5
2012,32,WAS,Tomáš Satoranský,satorto01,,6,388,8617,17.9,.100,-0.9,2.4
2012,33,CLE,Bernard James,jamesbe01,Florida State,3,92,761,1.9,.117,-1.8,0.0
2012,34,CLE,Jae Crowder,crowdja01,Marquette,13,812,20161,43.0,.102,0.1,10.9
2012,35,GSW,Draymond Green,greendr01,Michigan State,14,949,27151,66.3,.117,2.1,27.9
2012,36,SAC,Orlando Johnson,johnsor01,UC Santa Barbara,3,103,1112,1.4,.059,-2.4,-0.1
2012,37,TOR,Quincy Acy,acyqu01,Baylor,7,337,5392,8.7,.078,-2.0,-0.1
2012,38,DEN,Quincy Miller,millequ01,Baylor,3,69,934,-0.1,-.003,-3.9,-0.5
2012,39,DET,Khris Middleton,middlkh01,Texas A&M,14,839,25262,58.2,.111,0.5,15.7
2012,40,POR,Will Barton,bartowi01,Memphis,11,679,17116,26.5,.074,-0.4,6.9
2012,41,POR,Tyshawn Taylor,tayloty01,Kansas,2,61,491,-0.9,-.088,-8.1,-0.8
2012,42,MIL,Doron Lamb,lambdo01,Kentucky,2,100,1272,0.1,.005,-5.8,-1.2
2012,43,ATL,Mike Scott,scottmi01,Virginia,9,555,9182,16.8,.088,-1.7,0.6
2012,44,DET,Kim English,engliki01,Missouri,1,41,407,0.2,.021,-4.2,-0.2
2012,45,PHI,Justin Hamilton,hamilju01,LSU,3,113,1961,3.7,.091,-0.9,0.5
2012,46,NOH,Darius Miller,milleda01,Kentucky,6,271,5358,6.5,.059,-2.3,-0.4
2012,47,UTA,Kevin Murphy,murphke01,Tennessee Technological University,1,17,52,-0.3,-.272,-16.8,-0.2
2012,48,NYK,Kostas Papanikolaou,papanko01,,2,69,1089,0.3,.015,-2.7,-0.2
2012,49,ORL,Kyle O'Quinn,oquinky01,Norfolk State,8,472,6714,17.8,.128,0.9,5.0
2012,50,DEN,İzzet Türkyılmaz,turkyiz01,,,,,,,,
2012,51,BOS,Kris Joseph,josepkr01,Syracuse,1,10,54,-0.1,-.127,-9.9,-0.1
2012,52,GSW,Ognjen Kuzmić,kuzmiog01,,2,37,164,0.2,.061,-5.6,-0.2
2012,53,LAC,Furkan Aldemir,aldemfu01,,1,41,540,1.4,.122,-3.6,-0.2
2012,54,PHI,Tornike Shengelia,shengto01,,2,45,247,-0.2,-.032,-7.0,-0.3
2012,55,DAL,Darius Johnson-Odom,johnsda03,Marquette,2,7,21,-0.3,-.597,-25.5,-0.1
2012,56,TOR,Tomislav Zubčić,zubcito01,,,,,,,,
2012,57,NJN,İlkan Karaman,karamil01,,,,,,,,
2012,58,MIN,Robbie Hummel,hummero01,Purdue,2,98,1397,1.9,.066,-3.1,-0.4
2012,59,SAS,Marcus Denmon,denmoma01,Missouri,,,,,,,
2012,60,LAL,Robert Sacre,sacrero01,Gonzaga,4,189,2745,2.4,.042,-4.0,-1.4
2013,1,CLE,Anthony Bennett,bennean01,UNLV,4,151,1905,0.5,.013,-4.8,-1.3
2013,2,ORL,Victor Oladipo,oladivi01,Indiana,10,504,16247,25.6,.076,0.7,11.0
2013,3,WAS,Otto Porter Jr.,porteot01,Georgetown,11,527,13400,36.7,.132,1.7,12.5
2013,4,CHA,Cody Zeller,zelleco01,Indiana,11,552,11510,33.5,.140,-0.7,3.9
2013,5,PHO,Alex Len,lenal01,Maryland,12,690,11754,23.9,.097,-1.9,0.3
2013,6,NOH,Nerlens Noel,noelne01,Kentucky,9,467,10281,28.3,.132,0.9,7.4
2013,7,SAC,Ben McLemore,mclembe01,Kansas,9,556,12534,9.0,.035,-3.1,-3.4
2013,8,DET,Kentavious Caldwell-Pope,caldwke01,Georgia,13,963,28124,49.2,.084,-1.0,7.2
