source_dataset,draft_year,pick,player,norm_name,position,school,conference,age_at_draft,height_in,weight_lbs,games,mp,ts_pct,efg_pct,three_par,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,obpm,dbpm,bpm,ast_to_tov,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,tov_per40,ft_pct,three_pct,three_pa_per40,draft_score,nba_mpg,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp,combine_height_no_shoes_in,combine_height_with_shoes_in,wingspan_in,standing_reach_in,max_vert_in,standing_vert_in,combine_weight_lbs,lane_agility_s,sprint_s,fte_projected_spm,fte_superstar_prob,fte_starter_prob,fte_role_player_prob,fte_bust_prob,outcome_mpg,outcome_tier,outcome_value
woodfin8/Draft_Machine combined_data.csv,2000,29.0,Mark Madsen,mark madsen,,stanford,,,81.0,,108.0,2007.0,0.598,0.587,,0.737,,,,,,,12.9,,,,,,23.43796711509716,17.0802192326856,1.375186846038864,0.9367214748380668,1.27553562531141,2.132536123567513,0.596,0.0,0.0,,11.8,453.0,5335.0,8.2,0.074,-2.2,-0.2,,,,,,,,,,,,,,,11.8,bench,11.8
woodfin8/Draft_Machine combined_data.csv,2000,31.0,Dan Langhi,dan langhi,,vanderbilt,,,83.0,,121.0,2464.0,0.571,0.508,,0.434,,,,,,,11.7,,,,,,24.383116883116884,9.074675324675324,1.331168831168831,0.9415584415584416,0.422077922077922,2.435064935064935,0.831,0.383,2.24025974025974,,9.4,133.0,1253.0,0.3,0.012,-6.8,-1.5,,,,,,,,,,,,,,,9.4,bench,9.4
woodfin8/Draft_Machine combined_data.csv,2000,32.0,A.J. Guyton,a j guyton,,indiana,,,73.0,,128.0,3260.0,0.572,0.541,,0.249,,,,,,,13.6,,,,,,25.76687116564417,5.263803680981595,4.94478527607362,1.5828220858895703,0.638036809815951,2.6748466257668717,0.79,0.414,3.4723926380368098,,15.6,80.0,1246.0,0.3,0.01,-5.4,-1.1,,,,,,,,,,,,,,,15.6,rotation,15.6
woodfin8/Draft_Machine combined_data.csv,2000,33.0,Jake Voskuhl,jake voskuhl,,uconn,,,83.0,,138.0,2184.0,0.573,0.542,,0.555,,,,,,,23.0,,,,,,15.805860805860805,16.117216117216117,2.271062271062271,1.575091575091575,3.534798534798535,2.9304029304029307,0.656,0.3291618569636134,0.0,,14.3,450.0,6443.0,11.6,0.087,-2.2,-0.3,,,,,,,,,,,,,,,14.3,bench,14.3
woodfin8/Draft_Machine combined_data.csv,2000,34.0,Khalid El-Amin,khalid el amin,,uconn,,,70.0,,108.0,2149.0,0.527,0.486,,0.257,,,,,,,15.6,,,,,,30.711959050721266,5.937645416472778,8.915774778966961,3.462075383899488,0.1861330851558864,3.499302000930665,0.822,0.355,3.629595160539786,,18.7,50.0,936.0,0.6,0.03,-3.8,-0.4,,,,,,,,,,,,,,,18.7,rotation,18.7
woodfin8/Draft_Machine combined_data.csv,2000,35.0,Mike Smith,mike smith,,university of louisiana at monroe,,,80.0,,55.0,1938.0,0.551,0.507,,0.357,,,,,,,20.0,,,,,,21.91950464396285,9.267285861713106,3.0340557275541795,1.8575851393188856,0.8668730650154799,4.974200206398349,0.769,0.318,2.683178534571724,,10.6,17.0,180.0,-0.1,-0.033,-5.5,-0.2,,,,,,,,,,,,,,,10.6,bench,10.6
woodfin8/Draft_Machine combined_data.csv,2000,37.0,Eddie House,eddie house,,arizona state,,,73.0,,124.0,4136.0,0.523,0.495,,0.187,,,,,,,10.8,,,,,,19.767891682785297,4.854932301740813,3.916827852998066,2.495164410058027,0.1837524177949709,1.885880077369439,0.798,0.366,2.4177949709864603,,17.3,717.0,12405.0,20.0,0.077,-1.5,1.6,,,,,,,,,,,,,,,17.3,rotation,17.3
woodfin8/Draft_Machine combined_data.csv,2000,38.0,Eduardo Najera,eduardo najera,,oklahoma,,,80.0,,126.0,3001.0,0.495,0.46,,0.354,,,,,,,13.1,,,,,,21.93935354881706,12.129290236587805,2.865711429523492,2.572475841386205,1.186271242919027,2.679106964345218,0.669,0.288,1.13295568143952,,18.1,619.0,11213.0,24.7,0.106,0.3,6.4,,,,,,,,,,,,,,,18.1,rotation,18.1
woodfin8/Draft_Machine combined_data.csv,2000,39.0,Lavor Postell,lavor postell,,st. john's,,,77.0,,129.0,2845.0,0.526,0.47,,0.383,,,,,,,13.8,,,,,,20.063268892794376,10.066783831282953,2.882249560632689,1.8137082601054484,0.8154657293497364,2.4182776801405974,0.789,0.326,1.2934973637961336,,7.3,61.0,446.0,-0.2,-0.025,-8.6,-0.7,,,,,,,,,,,,,,,7.3,bust,7.3
woodfin8/Draft_Machine combined_data.csv,2000,40.0,Hanno Mottola,hanno mottola,,utah,,,83.0,,120.0,2162.0,0.58,0.533,,0.415,,,,,,,14.9,,,,,,27.60407030527289,10.19426456984274,2.5716928769657725,0.6845513413506013,0.9250693802035151,2.941720629047179,0.774,0.333,1.3135985198889917,,15.2,155.0,2360.0,0.9,0.019,-5.8,-2.3,,,,,,,,,,,,,,,15.2,rotation,15.2
