rank,name,position,team_school,height_listed,height_in,weight_lbs,class,age,pts_pg,reb_pg,ast_pg,blk_pg,stl_pg,pts_per36,reb_per36,ast_per36,blk_per36,stl_per36,ts_pct,usg,obpm,dbpm,bpm,source,norm_name
37,Ugonna Onyenso,C,Virginia,"7'0.25""",84.25,237.0,Senior,21.7,6.5,4.9,0.6,2.9,0.6,12.6,9.5,1.1,5.7,1.2,0.616,15.5,4.7,7.6,12.2,Tankathon,ugonna onyenso
38,Jaden Bradley,PG,Arizona,"6'3.75""",75.75,205.0,Senior,22.8,13.3,3.4,4.4,0.1,1.4,15.6,4.0,5.1,0.1,1.7,0.568,20.9,3.7,5.3,9.0,Tankathon,jaden bradley
39,Trevon Brazile,PF,Arkansas,"6'10.75""",82.75,226.0,Senior,23.4,13.0,7.3,1.6,1.6,1.5,14.9,8.4,1.8,1.8,1.7,0.619,17.6,5.4,3.9,9.3,Tankathon,trevon brazile
40,Baba Miller,SF,Cincinnati,"6'11.75""",83.75,208.0,Senior,22.4,13.0,10.3,3.7,1.2,0.7,14.7,11.7,4.2,1.3,0.8,0.576,21.1,3.7,5.8,9.4,Tankathon,baba miller
41,Jack Kayil,PG,Alba Berlin,"6'3""",75.0,174.0,International,20.4,12.3,2.9,3.7,0.2,1.0,20.7,4.9,6.2,0.3,1.7,0.534,28.9,,,,Tankathon,jack kayil
42,Otega Oweh,SG,Kentucky,"6'5.5""",77.5,216.0,Senior,22.9,18.6,4.8,2.7,0.3,1.8,20.5,5.3,2.9,0.3,2.0,0.554,28.4,4.0,3.4,7.4,Tankathon,otega oweh
43,Nick Martinelli,SF,Northwestern,"6'7.75""",79.75,224.0,Senior,22.2,23.0,6.2,2.0,0.4,0.8,23.3,6.3,2.0,0.4,0.8,0.602,31.1,8.0,0.6,8.6,Tankathon,nick martinelli
44,Ja'Kobi Gillespie,PG,Tennessee,"6'1""",73.0,182.0,Senior,22.3,18.4,2.8,5.4,0.2,2.1,19.1,2.9,5.6,0.2,2.2,0.538,26.9,6.4,4.5,10.9,Tankathon,ja kobi gillespie
45,Emanuel Sharp,SG,Houston,"6'4""",76.0,208.0,Senior,22.3,15.5,3.0,1.7,0.1,1.2,18.9,3.6,2.1,0.1,1.5,0.582,25.0,5.9,4.8,10.7,Tankathon,emanuel sharp
46,Izaiyah Nelson,PF/C,South Florida,"6'9.5""",81.5,219.0,Senior,22.7,15.9,9.6,1.2,1.4,1.6,20.9,12.6,1.6,1.9,2.2,0.612,23.7,5.9,3.3,9.2,Tankathon,izaiyah nelson
47,Bruce Thornton,PG,Ohio State,"6'1.25""",73.25,223.0,Senior,22.8,19.9,5.1,3.9,0.2,1.1,19.6,5.0,3.9,0.2,1.1,0.665,23.6,9.5,3.2,12.7,Tankathon,bruce thornton
48,Milos Uzan,PG,Houston,"6'4.25""",76.25,185.0,Senior,23.5,11.1,2.7,4.0,0.1,1.0,12.1,2.9,4.4,0.1,1.1,0.493,19.6,2.6,3.8,6.4,Tankathon,milos uzan
