rank,name_tankathon,position,team_school,height_listed,height_in,weight_lbs,class,age,pts_pg,reb_pg,ast_pg,blk_pg,stl_pg,pts_per36,reb_per36,ast_per36,blk_per36,stl_per36,ts_pct,usg,obpm,dbpm,bpm,source,norm_name,name,sources_count,consensus_mean,consensus_median,consensus_std,consensus_min,consensus_max,sources,rank_tankathon,rank_rookie_scale_consensus,rank_cbs_prospect_rankings,rank_bleacher_report_mock,rank_nba_draft_room_big_board,rank_tankathon_mock,rank_cbs_mock,rank_yahoo_koc_big_board,rank_the_ringer_big_board,cbs_mpg,cbs_ppg,cbs_rpg,cbs_apg,cbs_fg_pct,name_combine,height_listed_combine,height_in_combine,weight_lbs_combine,sources_combine,wingspan_listed,wingspan_in,height_wo_shoes,height_wo_shoes_in,standing_reach,standing_reach_in,display_name
21.0,Dailyn Swain,SG/SF,Texas,"6'7.75""",79.75,211.0,Junior,20.9,17.3,7.5,3.6,0.3,1.6,19.0,8.3,3.9,0.3,1.8,0.636,24.6,6.9,3.6,10.5,Tankathon,dailyn swain,Dailyn Swain,8,20.0,20.0,3.840572873934304,13,25,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,21.0,22.0,25.0,25.0,19.0,17.0,18.0,,13.0,32.7,17.3,7.5,3.6,54.2,Dailyn Swain,"6'7.75""",79.75,211.0,NBA Draft Room mock;Tankathon,6-10,82.0,,,,,Dailyn Swain
22.0,Christian Anderson,PG,Texas Tech,"6'2.25""",74.25,180.0,Sophomore,20.2,18.5,3.6,7.4,0.2,1.5,17.4,3.4,6.9,0.2,1.4,0.626,23.8,7.1,2.3,9.4,Tankathon,christian anderson,Christian Anderson,6,22.833333333333332,21.5,3.435921354681384,19,28,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,22.0,20.0,,19.0,27.0,21.0,,,28.0,,,,,,Christian Anderson,"6'2.25""",74.25,180.0,NBA Draft Room mock;On3 combine measurements;Tankathon,6-6 1/4 –,78.25,6’0.75″,72.75,8’0.5″,96.5,Christian Anderson
23.0,Allen Graves,PF,Santa Clara,"6'9""",81.0,226.0,Freshman,19.9,11.8,6.5,1.8,0.9,1.9,18.8,10.4,2.9,1.5,3.0,0.613,21.9,8.7,4.7,13.4,Tankathon,allen graves,Allen Graves,8,22.625,23.0,3.5333235062756425,18,28,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,23.0,23.0,28.0,20.0,18.0,24.0,27.0,,18.0,22.6,11.8,6.5,1.8,51.2,Allen Graves,"6'9""",81.0,226.0,Tankathon,,,,,,,Allen Graves
24.0,Ebuka Okorie,PG,Stanford,"6'2.5""",74.5,186.0,Freshman,19.2,23.2,3.6,3.6,0.3,1.6,23.8,3.7,3.7,0.3,1.6,0.589,31.0,8.4,2.2,10.6,Tankathon,ebuka okorie,Ebuka Okorie,8,22.5,23.5,2.8284271247461903,16,26,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,24.0,24.0,24.0,16.0,21.0,23.0,26.0,,22.0,35.0,23.2,3.6,3.6,46.5,Ebuka Okorie,"6'2.5""",74.5,186.0,NBA Draft Room mock;Tankathon,6-7 3/4 –,79.75,,,,,Ebuka Okorie
25.0,Koa Peat,PF,Arizona,"6'8.25""",80.25,245.0,Freshman,19.4,14.1,5.6,2.6,0.7,0.6,18.3,7.3,3.3,0.9,0.8,0.557,24.5,4.8,3.9,8.8,Tankathon,koa peat,Koa Peat,8,24.375,25.0,2.8256636388643286,18,27,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,25.0,25.0,18.0,27.0,25.0,27.0,22.0,,26.0,27.8,14.1,5.6,2.6,52.8,Koa Peat,"6'8.25""",80.25,245.0,NBA Draft Room mock;Tankathon,6-11 1/4,83.25,,,,,Koa Peat
26.0,Isaiah Evans,SF,Duke,"6'6.75""",78.75,186.0,Sophomore,20.5,15.0,3.2,1.3,0.7,0.7,19.2,4.1,1.6,0.8,0.9,0.59,24.9,6.5,3.3,9.8,Tankathon,isaiah evans,Isaiah Evans,6,27.166666666666668,26.0,2.852873794770615,24,33,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,26.0,26.0,,28.0,33.0,26.0,,,24.0,,,,,,Isaiah Evans,"6'6.75""",78.75,186.0,Tankathon,,,,,,,Isaiah Evans
27.0,Joshua Jefferson,PF/SF,Iowa State,"6'9""",81.0,246.0,Senior,22.6,16.4,7.4,4.8,0.8,1.6,19.1,8.6,5.6,1.0,1.9,0.56,27.6,7.0,6.1,13.0,Tankathon,joshua jefferson,Joshua Jefferson,7,29.142857142857142,30.0,4.15515416349971,20,33,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,27.0,32.0,30.0,33.0,32.0,30.0,,,20.0,30.8,16.4,7.4,4.8,47.1,Joshua Jefferson,"6'9""",81.0,246.0,Tankathon,,,,,,,Joshua Jefferson
28.0,Meleek Thomas,SG/PG,Arkansas,"6'4.25""",76.25,190.0,Freshman,19.9,15.6,3.8,2.5,0.2,1.5,18.5,4.5,2.9,0.2,1.8,0.559,23.6,4.8,2.3,7.0,Tankathon,meleek thomas,Meleek Thomas,8,27.5,28.0,2.345207879911715,24,32,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,28.0,28.0,32.0,24.0,26.0,28.0,29.0,,25.0,30.5,15.6,3.8,2.5,43.3,Meleek Thomas,"6'4.25""",76.25,190.0,Tankathon,,,,,,,Meleek Thomas
29.0,Henri Veesaar,C,North Carolina,"7'0.5""",84.5,227.0,Junior,22.2,17.0,8.7,2.1,1.2,0.6,19.5,10.0,2.4,1.4,0.7,0.664,23.3,7.0,3.8,10.7,Tankathon,henri veesaar,Henri Veesaar,8,24.75,25.0,3.897114317029974,17,30,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,29.0,27.0,23.0,30.0,22.0,25.0,25.0,,17.0,31.3,17.0,8.7,2.1,60.8,Henri Veesaar,"7'0.5""",84.5,227.0,Tankathon,,,,,,,Henri Veesaar
30.0,Tarris Reed Jr.,C,UConn,"6'11""",83.0,264.0,Senior,22.9,14.7,9.0,2.3,2.0,0.9,19.4,11.8,3.0,2.6,1.2,0.614,26.1,6.7,6.1,12.9,Tankathon,tarris reed,Tarris Reed Jr.,8,28.125,30.0,3.9191038516477206,20,32,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,30.0,31.0,27.0,32.0,20.0,31.0,24.0,,30.0,27.3,14.7,9.0,2.3,60.7,Tarris Reed Jr.,"6'11""",83.0,264.0,NBA Draft Room mock;Tankathon,7-4 1/4,88.25,,,,,Tarris Reed Jr.
