source,rank,name,norm_name
Rookie Scale consensus,85,Elijah Mahi,elijah mahi
Rookie Scale consensus,86,Vsevolod Ishchenko,vsevolod ishchenko
Rookie Scale consensus,87,William Kyle III,william kyle
Rookie Scale consensus,88,Fletcher Loyer,fletcher loyer
Rookie Scale consensus,89,Tre White,tre white
Rookie Scale consensus,90,Josh Dix,josh dix
Rookie Scale consensus,91,Jalen Washington,jalen washington
Rookie Scale consensus,92,Donovan Atwell,donovan atwell
Rookie Scale consensus,93,Jaxon Kohler,jaxon kohler
Rookie Scale consensus,94,Melvin Council Jr.,melvin council
Rookie Scale consensus,95,Ernest Udeh Jr.,ernest udeh
Rookie Scale consensus,96,Isaac McKneely,isaac mckneely
Rookie Scale consensus,97,Kowacie Reeves Jr.,kowacie reeves
Rookie Scale consensus,98,Tre Carroll,tre carroll
Rookie Scale consensus,99,Kashie Natt,kashie natt
Rookie Scale consensus,100,Lajae Jones,lajae jones
CBS prospect rankings,1,AJ Dybantsa,aj dybantsa
CBS prospect rankings,2,Darryn Peterson,darryn peterson
CBS prospect rankings,3,Cameron Boozer,cameron boozer
CBS prospect rankings,4,Caleb Wilson,caleb wilson
CBS prospect rankings,5,Keaton Wagler,keaton wagler
CBS prospect rankings,6,Darius Acuff Jr.,darius acuff
CBS prospect rankings,7,Kingston Flemings,kingston flemings
CBS prospect rankings,8,Mikel Brown Jr.,mikel brown
CBS prospect rankings,9,Brayden Burries,brayden burries
CBS prospect rankings,10,Nate Ament,nate ament
CBS prospect rankings,11,Aday Mara,aday mara
CBS prospect rankings,12,Yaxel Lendeborg,yaxel lendeborg
CBS prospect rankings,14,Labaron Philon,labaron philon
CBS prospect rankings,16,Hannes Steinbach,hannes steinbach
CBS prospect rankings,18,Koa Peat,koa peat
CBS prospect rankings,19,Bennett Stirtz,bennett stirtz
CBS prospect rankings,22,Chris Cenac Jr.,chris cenac
CBS prospect rankings,23,Henri Veesaar,henri veesaar
CBS prospect rankings,24,Ebuka Okorie,ebuka okorie
CBS prospect rankings,25,Dailyn Swain,dailyn swain
CBS prospect rankings,27,Tarris Reed Jr.,tarris reed
CBS prospect rankings,28,Allen Graves,allen graves
CBS prospect rankings,29,Zuby Ejiofor,zuby ejiofor
CBS prospect rankings,30,Joshua Jefferson,joshua jefferson
CBS prospect rankings,31,Alex Karaban,alex karaban
CBS prospect rankings,32,Meleek Thomas,meleek thomas
CBS prospect rankings,34,Braden Smith,braden smith
CBS prospect rankings,35,Richie Saunders,richie saunders
CBS prospect rankings,36,Ryan Conwell,ryan conwell
CBS prospect rankings,37,Baba Miller,baba miller
CBS prospect rankings,38,Trevon Brazile,trevon brazile
CBS prospect rankings,40,Otega Oweh,otega oweh
